date;open;high;low;close;volume
1994-07-27;3640.5;3640.8;3632.9;3632.9;
1994-07-28;3639.4;3643.5;3636;3642.8;
1994-07-29;3648.9;3653.7;3637;3640.2;
1994-08-01;3637.6;3644;3636.3;3641.4;
1994-08-02;3652.9;3673.4;3650.5;3673.4;
1994-08-03;3677.5;3693.9;3677.4;3689.6;
1994-08-04;3689.9;3700.3;3689.2;3700.2;
1994-08-05;3698.6;3716.2;3697.7;3714.9;
1994-08-08;3716.1;3728.7;3716.1;3728.7;
1994-08-09;3734.4;3734.7;3724.8;3726.4;
1994-08-10;3724.9;3724.9;3712.6;3716.9;
1994-08-11;3732.4;3733.1;3723.3;3726.6;
1994-08-12;3710.6;3728.8;3708.8;3728.8;
1994-08-15;3732.2;3738.7;3719.1;3719.2;
1994-08-16;3716.2;3718.3;3714.3;3715.1;
1994-08-17;3728.6;3743.4;3726.2;3741.7;
1994-08-18;3742;3745.8;3739.6;3740.4;
1994-08-19;3732.6;3755.1;3732;3753.9;
1994-08-22;3759.9;3763.1;3749.1;3749.8;
1994-08-23;3749;3753.6;3748.3;3753.4;
1994-08-24;3758.4;3765.5;3758.4;3762.1;
1994-08-25;3782.5;3791.2;3780.5;3789.4;
1994-08-26;3786.2;3807;3783.4;3807;
1994-08-30;3818.7;3821.1;3809.2;3813.8;
1994-08-31;3813.4;3823.6;3811.8;3816.6;
1994-09-01;3812.7;3814.6;3794.3;3794.3;
1994-09-02;3793;3795.8;3781.2;3781.3;
1994-09-05;3772.2;3788.7;3769.1;3788.7;
